year month day AAPL GOOGL MSFT PG XOM
2005  06  22 5.26 144.79 20.64 42.15 48.66
2005  06  23 5.31 145.0 20.84 41.54 48.13
2005  06  24 5.16 148.77 20.62 40.89 47.42
2005  06  27 5.07 152.2 20.63 40.78 48.35
2005  06  28 5.09 151.15 20.64 41.29 48.18
2005  06  29 4.97 146.51 20.66 41.4 47.65
2005  06  30 5.03 147.22 20.45 40.84 46.86
2005  07  01 4.98 145.77 20.35 40.96 47.55
2005  07  05 5.19 148.0 20.57 40.84 49.04
2005  07  06 5.11 145.91   -   40.65 48.2
2005  07  07 5.14 147.92 20.3 40.38 48.53
2005  07  08 5.22 148.26 20.66 41.0 48.44
2005  07  11 5.2 146.82 20.83 41.73 48.9
2005  07  12 5.22 146.04 21.09 41.76 48.84
2005  07  13 5.24 149.58 21.13 42.26 48.73
2005  07  14 5.56 150.6 21.39 42.39 47.78
2005  07  15 5.67 150.75 21.24 42.19 47.42
2005  07  18 5.67 149.92 21.04 42.29 47.42
2005  07  19 5.9 155.11 21.54 42.49 47.93
2005  07  20 5.96 156.16 21.57 42.82 48.11
2005  07  21 5.91 157.13 21.77 42.9 47.2
2005  07  22 6.01 151.35 21.15 42.79 48.52
2005  07  25 5.98 148.07 21.15 42.75 48.88
2005  07  26 5.96 148.19 21.03 42.89 48.6
2005  07  27 6.01 148.61 21.18 43.09 48.6
2005  07  28 5.98 146.9 21.2 43.44 48.93
2005  07  29 5.82 144.02 21.09 43.29 47.91
2005  08  01 5.84 145.95 21.34 43.05 48.3
2005  08  02 5.9 149.74 22.08 43.08 48.77
2005  08  03 5.9 148.8 22.44 42.8 48.11
2005  08  04 5.83 149.01 22.5 42.15 47.72
2005  08  05 5.87 146.32 22.86 42.1 47.37
2005  08  08 5.82 145.77 22.34 42.22 47.99
2005  08  09 5.98 145.93 22.52 41.98 48.48
2005  08  10 5.92 142.98 22.19 41.8 49.08
2005  08  11 6.01 142.17 22.46 41.76 49.94
2005  08  12 6.29 145.01 22.27 41.67 50.03
2005  08  15 6.51 142.14 22.41 42.16 49.51
2005  08  16 6.32 142.97 22.08 41.7 48.4
2005  08  17 6.44 142.69 22.26 41.57 47.67
2005  08  18 6.32 140.14 22.15 42.16 47.62
2005  08  19 6.26 140.14 22.07 42.44 48.2
2005  08  22 6.26 137.14 22.22 42.92 48.4
2005  08  23 6.25 139.93 22.19 43.11 48.35
2005  08  24 6.25 141.43 22.14 42.5 48.25
2005  08  25 6.29 141.44 22.32 42.8 48.49
2005  08  26 6.25 141.93 22.27 42.77 47.86
2005  08  29 6.26 144.37 22.42 43.3 47.87
2005  08  30 6.36 143.78 22.45 43.11 48.03
2005  08  31 6.4 143.14 22.61 43.17 49.08
2005  09  01 6.32 143.27 22.46 43.39 50.54
2005  09  02 6.31 144.37 22.32 43.57 49.72
2005  09  06 6.66 143.7 22.3 44.02 50.03
2005  09  07 6.65 147.58 22.18 43.78 50.36
2005  09  08 6.8 147.84 21.98 43.7 50.23
2005  09  09 7.01 149.69 21.95 44.28 51.79
2005  09  12 7.02 155.03 21.98 44.01 51.23
2005  09  13 6.94 156.0 21.87 43.22 50.7
2005  09  14 6.77 151.65 21.73 42.82 51.19
2005  09  15 6.81 151.46 21.7 43.19 51.18
2005  09  16 6.99 150.25 21.53 43.54 52.2
2005  09  19 7.19 152.05 21.47 43.24 52.96
2005  09  20 7.26 154.11 21.34 43.61 52.88
2005  09  21 7.12 156.11 21.05 43.5 53.24
2005  09  22 7.09 155.84 20.93 44.12 53.25
2005  09  23 7.26 157.84 20.87 44.15 52.3
2005  09  26 7.35 157.3 20.87 44.04 52.93
2005  09  27 7.3 157.13 20.93 44.43 52.95
2005  09  28 6.97 153.15 21.2 44.7 53.02
2005  09  29   -  154.96 21.42 45.24 53.1
2005  09  30 7.32 158.39 21.25 46.27 52.07
2005  10  03 7.43 159.5 21.06 46.15 51.21
2005  10  04 7.34 155.66 20.63 45.2 49.62
2005  10  05 7.21 155.51 20.37 44.44 48.3
2005  10  06 7.06 156.53 20.42 43.75 47.99
2005  10  07 7.0 156.65 20.31 43.61 48.84
2005  10  10 6.88 155.48 20.2 43.45 47.94
2005  10  11 7.04 153.2 20.16 43.59 48.67
2005  10  12 6.72 150.64 20.07 43.6 48.3
2005  10  13 7.34 148.87 20.31 43.73 47.66
2005  10  14 7.37 148.22 20.37 43.66 48.05
2005  10  17 7.3 152.65 20.26 43.41 48.23
2005  10  18 7.13 151.79 20.29 43.07 46.13
2005  10  19 7.5 154.5 20.72 43.54 46.85
2005  10  20 7.67 151.75 20.47 43.15 45.23
2005  10  21 7.6 170.12 20.47 42.87 45.37
2005  10  24 7.75 174.5 20.73 43.1 46.58
2005  10  25 7.66 173.63 20.67 43.48 46.87
2005  10  26 7.79 177.9 20.74 43.01 46.05
2005  10  27 7.57 176.71 20.52 43.03 45.56
2005  10  28 7.44 179.26 21.09 43.74 46.14
2005  10  31 7.86 186.26 21.23 43.79 46.0
2005  11  01 7.85 189.88 21.44 43.21 46.22
2005  11  02 8.19 190.03 21.85 43.53 47.02
2005  11  03 8.45 193.17 21.84 43.77 47.99
2005  11  04 8.35 195.41 22.02 43.74 47.44
2005  11  07 8.22 197.71 22.31 43.47 46.79
